text,year,month,day_of_month,day_of_week,hour_of_day
This is real,2022,10,13,4,0
"🎯 “My opinion is Burnt Hair is just Elon saying, chill out, have a laugh, and share a laugh.”",2022,10,12,3,22
Oh the irony 🤣🤣,2022,10,12,3,22
"We might need a different name, as this is basically just Starlink with roaming capability, so you can take your te…",2022,10,12,3,21
The counter-intuitive thing is that it’s actually gonna be a sick product!,2022,10,12,3,21
"Please buy my perfume, so I can buy Twitter",2022,10,12,3,21
And right on cue 🤣🤣 …,2022,10,12,3,20
You’re most welcome. Glad to support Ukraine.,2022,10,12,3,19
Doesn’t get more lit than this!,2022,10,12,3,4
BE the change you want in the world!,2022,10,12,3,4
Can’t wait for media stories tomorrow about $1M of Burnt Hair sold 🤣,2022,10,12,3,4
"10,000 bottles of Burnt Hair sold!",2022,10,12,3,4
Over 5000 bottles of Burnt Hair sold!,2022,10,12,3,0
"With a name like mine, getting into the fragrance business was inevitable – why did I even fight it for so long!?",2022,10,11,2,23
And you can pay with Doge!,2022,10,11,2,23
The finest fragrance on Earth!,2022,10,11,2,23
Nobody should trust Bremmer,2022,10,11,2,21
Maybe one day we can finally achieve,2022,10,11,2,20
The next question one is typically asked is “Have you tried ayahuasca?”,2022,10,11,2,20
Vital to the future of consciousness,2022,10,13,4,19
srsly,2022,10,13,4,17
Next week,2022,10,13,4,16
Envy has driven him to madness,2022,10,13,4,16
Starlink requires nothing except ~50 Watt power source. With a small solar system plus battery or a ge…,2022,10,13,4,16
True,2022,10,13,4,16
There are some active terminals,2022,10,13,4,16
"Of course, this happens almost every day. They successfully destroyed Viasa…",2022,10,13,4,16
Starlink has faced relentless jamming attacks &amp; SpaceX relentless cyberwar.…,2022,10,13,4,16
Noted,2022,10,13,4,14
Starlink data usage growth in Ukraine,2022,10,13,4,14
People should never fear turbulence. Commercial airliner wings can handle insane amounts of bending.,2022,10,14,5,16
The right question to ask,2022,10,14,5,14
We’re just following his recommendation 🤷‍♂️,2022,10,14,5,7
"Falcon can probably get Starlink past breakeven, but Starship is needed to fund Mars",2022,10,14,5,6
"In addition to terminals, we have to create, launch, maintain &amp; replenish sat…",2022,10,14,5,6
"Also, Starlink is still losing money! It is insanely difficult for a LEO communications constellatio…",2022,10,14,5,6
Maybe the 🐈 got their 👅,2022,10,14,5,6
Very few in Iran so far,2022,10,14,5,6
"Strange that nothing was leaked about our competitors in space launch &amp; communications, Lockheed &amp; B…",2022,10,14,5,6
"SpaceX is not asking to recoup past expenses, but also cannot fund the existing system indef…",2022,10,14,5,6
"Curses, foiled again!",2022,10,15,6,6
Accurate,2022,10,15,6,4
Russia has the ability to destroy USA &amp; Europe utterly with nuclear missiles in less than 30 minutes &amp;…,2022,10,15,6,1
This has potential,2022,10,15,6,1
"Internet fiber, phone lines, cell towers &amp; other space-based comms…",2022,10,15,6,1
Thank you for clarifying this 💙🇺🇦💛,2022,10,15,6,0
Starlink is the primary communications system of the…,2022,10,15,6,0
Big difference between peace comms vs warfront comms. Starlink is…,2022,10,15,6,0
Concerning,2022,10,14,5,23
Are there citizens of nations who are helping Ukraine on this list?,2022,10,14,5,21
But surely no reasonable person would launch nuclear war? The problem with that logic is if we were d…,2022,10,14,5,21
Is this list real? What’s the URL?,2022,10,14,5,21
"We are proceeding very carefully. If there is a RUD on the pad, Starship progress will be set back by ~6 months.",2022,10,16,7,20
Game over when (not if) Earth gets hit by an object of that size,2022,10,16,7,15
Used a lot in rocketry,2022,10,16,7,14
So true,2022,10,16,7,14
Every millipede has its millennia,2022,10,16,7,14
We should bring back their outfits,2022,10,16,7,14
Good thread,2022,10,16,7,14
Fancy a game of meme tennis?,2022,10,16,7,5
Buy Burnt Hair from a company that digs holes!,2022,10,16,7,5
I read this as goth clowns lonely,2022,10,16,7,5
Did you hear about the dyslexic KBG agent – it’s pot secret!,2022,10,16,7,4
"Venn diagram intersection of those two audiences is pretty small, I guess",2022,10,16,7,4
Not as popular as I’d hoped (sigh),2022,10,16,7,4
Pitching my idea once again for a crossover of Das Boot &amp; Boss Baby. “Das Baby” – Hijinks on the high seas!,2022,10,16,7,3
"Just a scratch, we can buff it out",2022,10,16,7,3
Mostly accurate,2022,10,16,7,3
The comments in this thread are a conspiracy theorist’s wet dream,2022,10,16,7,3
7 years ago,2022,10,15,6,23
Definitely one of the strangest meetings I’ve ever experienced. was there too.,2022,10,15,6,20
I’m trying my hardest to de-escalate this situation and obviously failing,2022,10,15,6,20
"Damned if you do, damned if you don’t, so … guess I’m just damned",2022,10,15,6,19
"Starship &amp; next-gen Starlink satellites are key, but much risk lies ahead before those are working at scale",2022,10,15,6,19
The hilarious thing is you’re not wrong 🤣,2022,10,15,6,19
So it goes …,2022,10,15,6,19
Fate loves irony,2022,10,15,6,18
"Even so, we should still do good deeds",2022,10,15,6,18
"The hell with it … even though Starlink is still losing money &amp; other companies are getting billions of taxpayer $,…",2022,10,15,6,18
"That dude is not just a “condition of anonymity” spineless coward, he’s also an ignorant fool. Star…",2022,10,15,6,17
It has required a lot of our resources. Going into super lockdown mode slows…,2022,10,15,6,17
"DoD provided about 3% of the Falcon 1 development cost. Appreciated, certainly, but should be seen in context.",2022,10,15,6,17
Of course. And their signal jamming systems are also getting better.,2022,10,15,6,16
The amount SpaceX is requesting for a major battlefield advantage is less than the cost of one new GPS…,2022,10,15,6,16
Would be great if someday humanity stopped pointing nukes at itself that would destroy almost all life…,2022,10,15,6,16
Wrong analogy. America also had a humiliating withdra…,2022,10,17,1,14
Probably not,2022,10,17,1,13
Practice makes perfect …,2022,10,17,1,13
Russia has been punched in the nose and forced to retreat many ti…,2022,10,17,1,13
"Obviously many disagree with this logic, but what do they think is their probability of b…",2022,10,17,1,13
"But, hey, look on the bright side! At least Russia doesn’t get Crimea in that scenario, s…",2022,10,17,1,13
"If Russia faces destruction of their army and utter defeat by NATO, they will use nukes,…",2022,10,17,1,13
"Whether one likes it or not, Crimea is absolutely seen as a core part of Russia by Russia. Crimea…",2022,10,17,1,13
Exactly,2022,10,17,1,12
"If Russia is faced with the choice of losing Crimea or using battlefield nukes, they will choose the…",2022,10,17,1,12
Exceptionally well-said,2022,10,17,1,12
Standard (non-performance) 3 &amp; Y suspension in production now has improve…,2022,10,17,1,12
"Yeah, RV version is lower priority than standard version. You should still…",2022,10,17,1,11
"Ok, we will add a donate option to Starlink",2022,10,17,1,7
"That’s oddly low. Normally, much higher.",2022,10,17,1,7
Are there others that want to donate Starlinks to places in need?,2022,10,17,1,6
🤣 that’s happened to me many times,2022,10,17,1,5
A much quieter leaf blower is possible,2022,10,17,1,5
"This is harder than it sounds, but ok",2022,10,16,7,21
(Actually) Smart Summon is almost done,2022,10,18,2,6
I have a plan,2022,10,18,2,1
Thanks Optimus :),2022,10,18,2,0
"To be precise, 25,300 terminals were sent to Ukraine, but, at present, only 10,630 are paying for service",2022,10,17,1,19
SpaceX has already withdrawn its request for funding,2022,10,17,1,19
Awesome,2022,10,19,3,18
"We even did a Starlink video call on one airplane aloft to Starlink on another, far away, airplane aloft and it wor…",2022,10,19,3,17
"Several major architectural upgrades in 10.69.3, so it’s much more than a point release, but w…",2022,10,19,3,13
Sounds fair,2022,10,19,3,4
Definitely giving me kid naming ideas 🤣,2022,10,19,3,3
And … sold out!,2022,10,19,3,3
Internet in airplanes will feel same as if you were accessing Internet at home!,2022,10,19,3,3
"28,700 bottles of exquisite Burnt Hair perfume already sold! Only 1,300 left of this unique, limited edition, col…",2022,10,19,3,1
We’re working on it. Hope to release something next week.,2022,10,19,3,0
"No money from DoD, but several other countries, orgs &amp; individuals are paying for ~11k/25k terminals (…",2022,10,19,3,0
Smart? Maybe. Does dumb stuff? Definitely!,2022,10,18,2,20
True,2022,10,18,2,19
Exactly,2022,10,18,2,15
"Should I make weapons? Ideally, not.",2022,10,18,2,15
An easy prediction,2022,10,18,2,15
Drone War I,2022,10,18,2,14
Same,2022,10,20,4,9
Exactly,2022,10,20,4,7
"SpaceX has more active satellites in orbit than rest of Earth combined, tracking to double rest of Earth soon",2022,10,20,4,7
"The media reports with great fanfare my predictions that are late, but rarely those that come early",2022,10,20,4,6
Accelerating sustainable energy is our primary mission,2022,10,20,4,0
"Will require truly exceptional execution, but it is possible",2022,10,19,3,22
"I will not let you down, no matter what it takes",2022,10,19,3,18
"You’re right. Eventually, we all run out of time.",2022,10,21,5,6
"Only Giga Berlin can make these colors, as paint shop was specially built to apply many fine layers of paint, givin…",2022,10,21,5,6
"Varies a lot. Tesla &amp; SpaceX are in good positions, but many other companies are not. Re…",2022,10,21,5,6
Those who want Putin removed are laboring under the misappre…,2022,10,21,5,5
"Russia overrunning Ukraine would destabilize the entire region, perhaps the world",2022,10,21,5,5
If Russia faced calamitous defeat in conventional warfare for something as strategically c…,2022,10,21,5,5
I do. Yes.,2022,10,21,5,5
"Still very unlikely, but this is the closest we’ve been since Cuba in ‘62",2022,10,21,5,5
"Just guessing, but probably until spring of ‘24",2022,10,21,5,4
It sure would be nice to have one year without a horrible global event,2022,10,21,5,4
“Brutal for both sides” will be a common phrase in the months to come,2022,10,21,5,4
No way,2022,10,21,5,2
Maybe,2022,10,21,5,2
Certainly warrants closer scrutiny,2022,10,21,5,1
"Btw, how’s it going in Bakhmut?",2022,10,20,4,21
Pretty good troll tbh,2022,10,20,4,21
I couldn’t agree more 😜,2022,10,20,4,20
British humor is the best,2022,10,20,4,20
Compromise is overwhelmingly the most likely outcome – just a question of how much d…,2022,10,20,4,17
That should be the nature of the debate,2022,10,20,4,17
Most probable outcome by far is a horrible war of attrition that destroys Ukraine &amp; severely d…,2022,10,20,4,17
Exactly,2022,10,20,4,16
Congrats to team on 48th launch this year! Falcon 9 now holds record for most launches of a single vehicle type in a year.,2022,10,20,4,16
There is a tiny possibility there might be more to this story than meets the eye,2022,10,30,7,12
It will happen,2022,10,22,6,17
Hear! Hear!,2022,10,22,6,16
Why are you perpetuating propaganda concocted by the oil &amp; gas industry to distract you from the 6 tr…,2022,10,22,6,15
"Switzerland &amp; Belgium have great chocolate, but I do also love eccentric British &amp; Irish artisanal sweet shops",2022,10,22,6,7
Good thread,2022,10,22,6,0
"Next week. It’s actually a major release, so a lot more internal testing is needed before going to public beta.",2022,10,21,5,22
Cool,2022,10,21,5,22
🤣🤣 Although there could be more R&amp;D in candy tbh. Feels like there hasn’t been much improvement in decades.,2022,10,21,5,22
"Headline is misleading. Starlink can obviously offer far more robust positioning than GPS, as it wil…",2022,10,21,5,18
One of my favorite conspiracy theories is that the world is actually 80% men,2022,10,21,5,17
un ass ailable logic!,2022,10,21,5,13
Great game,2022,10,23,7,13
"Maybe it was a social media algorithm, not even people",2022,10,23,7,13
Think about who might have decided “The Current Thing” before accepting it,2022,10,23,7,13
Who decides “The Current Thing?” Real question. I don’t know.,2022,10,23,7,13
Exactly. WaPo are such hypocrites.,2022,10,23,7,13
Neuralink show &amp; tell now on Nov 30,2022,10,23,7,12
Had to be done,2022,10,23,7,12
We’ve come a long way,2022,10,23,7,1
i know |nothing| is forever,2022,10,23,7,0
Good point 🤔,2022,10,22,6,20
This needs to change. Manufacturing is awesome!,2022,10,22,6,19
How exciting to be alive at the same time as the largest animal ever! Wild that…,2022,10,24,1,12
You’re most welcome,2022,10,24,1,5
"Before DoD even came back with an answer, I told that SpaceX would not…",2022,10,24,1,2
Absolutely!,2022,10,23,7,22
Interesting,2022,10,23,7,16
Fasting rocks,2022,10,25,2,13
Had to do a double-take. This is the first non-fake Vitalik tweet I’ve seen in a while.,2022,10,25,2,13
One man’s hedge is another man’s shrub,2022,10,25,2,8
True,2022,10,25,2,8
Too much respect for authority inhibits innovation,2022,10,25,2,8
What lesson took you the longest to unlearn?,2022,10,25,2,4
"Twitter should be as broadly inclusive as possible, serving as a fair forum for lively, even if occasi…",2022,10,25,2,1
Absolutely necessary,2022,10,24,1,22
Important,2022,10,24,1,20
Exactly!,2022,10,24,1,20
"Yeah, doesn’t make sense",2022,10,24,1,18
Good thread,2022,10,24,1,13
I only play crazy 9’s,2022,10,24,1,13
…,2022,10,24,1,13
"Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Val…",2022,10,24,1,13
"I did as a child, but found it to be too simple to be useful in real life: a…",2022,10,24,1,13
"And I don’t even own a house, let alone a “mansion”, you douche",2022,10,24,1,13
"While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot",2022,10,24,1,13
Nobody bats 1000 🤷‍♂️,2022,10,26,3,15
A beautiful thing about Twitter is how it empowers citizen journalism – people are able to disseminate news without an establishment bias,2022,10,26,3,15
I’m a big fan of citizen journalism!,2022,10,26,3,15
“According to unnamed sources close to the matter who wish to remain anonymous” 🤣🤣,2022,10,26,3,14
"“The New York Times has emerged as a new, chaotic actor in global politics. The paper’s interventions in some of th…",2022,10,26,3,14
30% is a lot,2022,10,26,3,6
Concerning,2022,10,26,3,6
Works on any moving land object,2022,10,25,2,23
Absolutely,2022,10,27,4,13
Dear Twitter Advertisers,2022,10,27,4,13
Meeting a lot of cool people at Twitter today!,2022,10,26,3,21
Entering Twitter HQ – let that sink in!,2022,10,26,3,18
Definitely closer to citizen journalism – local news orgs are under-appreciated &amp; should get way more prominence on Twitter,2022,10,26,3,17
Ye’s account was restored by Twitter before the acquisition. They did not consult with or inform me.,2022,10,28,5,19
Twitter will be forming a content moderation council with widely diverse viewpoints. No major content decisions o…,2022,10,28,5,18
Cool!,2022,10,28,5,18
First I’ve heard,2022,10,28,5,13
🎶 let the good times roll 🎶,2022,10,28,5,12
I will be digging in more today,2022,10,28,5,11
the bird is freed,2022,10,28,5,3
Falcon rockets to orbit as seen from LA,2022,10,28,5,1
🤣 thanks,2022,10,27,4,16
"Finally, the truth that carbs are amazing can be said on this platform! #FreeSpeech",2022,10,29,6,17
Fresh baked bread &amp; pastries are some of the great joys of life,2022,10,29,6,17
"Good point. Being able to select which version of Twitter you want is probably better, much as it would b…",2022,10,29,6,7
One of the best trolls ever 🤣🤣,2022,10,29,6,4
Something like this makes sense,2022,10,29,6,2
Ace reporting by 🤣🤣,2022,10,29,6,0
"To be super clear, we have not yet made any changes to Twitter’s content moderation policies",2022,10,29,6,0
Sorry about that. Fixing as fast as possible!,2022,10,28,5,23
Ligma Johnson had it coming 🍆 💦,2022,10,28,5,21
Anyone suspended for minor &amp; dubious reasons will be freed from Twitter jail,2022,10,28,5,21
Comedy is now legal on Twitter,2022,10,28,5,21
"Tweeps will be twits going forward, as the latter has vastly more gravitas",2022,10,30,7,12
Pretty much,2022,10,30,7,11
There seem to be 10 people “managing” for every one person coding,2022,10,30,7,11
But Management 201 is such a tantalizing carrot …,2022,10,30,7,11
My title is Chief Twit right there in the bio. No idea who the CEO is.,2022,10,30,7,11
So demanding to allow a mere 30 days to learn this priceless information!,2022,10,30,7,11
"Just received this email from Twitter. This is an actual, real email that was autogenerated 🤣🤣",2022,10,30,7,11
"I will look into this. Twitter should be even-handed, favoring neither side.",2022,10,30,7,4
Absolutely,2022,10,30,7,3
d(he)ll,2022,10,30,7,3
Andrej will always be welcome at Tesla,2022,10,30,7,1
"If I had a dollar for every time someone asked me if Trump is coming back on this platform, Twitter would be minting money!",2022,10,31,1,17
"The Guardian used to have balance (moderately left) and integrity, but now it is a far left wing propaganda…",2022,10,31,1,16
"Oh no, all our diabolical plans have been revealed!!",2022,10,31,1,7
What could we do to make it better than TikTok?,2022,10,31,1,4
Interesting,2022,10,31,1,3
He sucks!!!,2022,10,31,1,3
Bring back Vine?,2022,10,31,1,3
"We’ve all made some questionable tweets, me more than most, but I want to be clear that I support Yoel…",2022,10,31,1,2
"Wachtell &amp; Twitter board deliberately hid this evidence from the court. Stay tuned, more to come …",2022,10,31,1,1
"All news has bias, some more than others",2022,10,31,1,0
This is fake – I did *not* tweet out a link to The New York Times!,2022,10,31,1,0
I’ve now been through so many hero to villain cycles I’ve lost count,2022,10,30,7,22
What an incredible creature!,2022,10,30,7,22
The whole verification process is being revamped right now,2022,10,30,7,22
This is false,2022,10,30,7,21
Sonic BOOMS!!,2022,11,1,2,13
Falcon Heavy launch in ~30 mins,2022,11,1,2,13
I will explain the rationale in longer form before this is implemented. It is the only way to defeat the bots &amp; trolls.,2022,11,1,2,5
We need to pay the bills somehow! Twitter cannot rely entirely on advertisers. How about $8?,2022,11,1,2,5
Halloween with my Mom,2022,11,1,2,4
"I confess, it’s all my fault",2022,11,1,2,4
I recommend following for the most accurate understanding of what’s happening with trust &amp; safety at Twitter,2022,11,1,2,3
I hate sarcasm so much you can’t believe it,2022,11,1,2,3
For now,2022,11,1,2,2
Definitely,2022,11,1,2,1
Looking into it,2022,10,31,1,22
This is just temporary,2022,10,31,1,22
…,2022,10,31,1,22
"Twitter has had a massive drop in revenue, due to activist groups pressuring advertisers, even though nothing has c…",2022,11,4,5,14
Absolutely,2022,11,4,5,11
That assessment is more accurate than most people realize,2022,11,4,5,11
Unsure if confirming or denying that I’m an alien is more convincing that I’m an alien,2022,11,4,5,7
maybe we’re already in it,2022,11,4,5,6
I’m an alien trying to get back to my home planet,2022,11,4,5,6
There are in fact 2 agendas,2022,11,4,5,5
Tiny talk is talk so small it feels like it’s coming from your own mind,2022,11,4,5,5
What can I say? It was a naked abuse of power.,2022,11,4,5,4
Why is small talk even legal!?,2022,11,4,5,4
A neuron doesn’t realize it’s a neuron,2022,11,3,4,8
"Pretty much, or at least one of the hive minds",2022,11,3,4,8
… with a lot of room for improvement,2022,11,3,4,8
"Because it consists of billions of bidirectional interactions per day, Twitter can be thought of as a collective, c…",2022,11,3,4,8
"True, Twitter has amazing content in Japan – roughly half of all adults online – but it’s al…",2022,11,3,4,8
"Your feedback is appreciated, now pay $8",2022,11,2,3,20
Advertisers should support:,2022,11,2,3,20
Twitter is simply the most interesting place on the Internet. That’s why you’re reading this tweet right now.,2022,11,2,3,18
The system is working 🤣,2022,11,2,3,18
Being attacked by both right &amp; left simultaneously is a good sign,2022,11,2,3,18
Quite a few companies like this,2022,11,2,3,18
Works every time,2022,11,2,3,18
Capital allocation should be done by those best at doing so,2022,11,2,3,18
Still a fair bit of polish to be done on 69.3. It’s a major release posing as a minor release.,2022,11,2,3,17
Some good ideas here,2022,11,2,3,17
you get what you pay for,2022,11,2,3,17
"If verified accounts violate terms of service, eg spam/scam/impersonation, they’ll be suspended, but Twitte…",2022,11,2,3,17
Thanks Michael,2022,11,2,3,16
Absolutely agreed that the Twitter safety board should have people from all viewpoints,2022,11,2,3,14
Exactly!,2022,11,2,3,14
The community notes feature is awesome. Our goal is to make Twitter the most accurate source of inform…,2022,11,2,3,13
…,2022,11,2,3,4
…,2022,11,2,3,4
"Talked to civil society leaders , , , ,…",2022,11,2,3,4
I think so,2022,11,2,3,4
Exactly!,2022,11,2,3,4
Twitter speaks to the inner masochist in all of us,2022,11,2,3,2
It’s the user’s own setting that did this,2022,11,2,3,2
Totally stole idea of charging for insults &amp; arguments from Monty Python tbh,2022,11,2,3,2
"To all complainers, please continue complaining, but it will cost $8",2022,11,2,3,2
That already happens very frequently,2022,11,1,2,23
Falcon Heavy is a testament to the awesomeness of humanity,2022,11,1,2,23
Sounds like a good idea,2022,11,1,2,23
"There will be a secondary tag below the name for someone who is a public figure, which is already the case for politicians",2022,11,1,2,19
"Yes, this will destroy the bots. If a paid Blue account engages in spam/scam, that account will be suspende…",2022,11,1,2,18
Absolutely essential. Creators need to make a living!,2022,11,1,2,18
This will also give Twitter a revenue stream to reward content creators,2022,11,1,2,18
Exactly,2022,11,1,2,18
And paywall bypass for publishers willing to work with us,2022,11,1,2,17
"You will also get: - Priority in replies, mentions &amp; search, which is essential to defeat spam/scam - Ability to po…",2022,11,1,2,17
Price adjusted by country proportionate to purchasing power parity,2022,11,1,2,17
Twitter’s current lords &amp; peasants system for who has or doesn’t have a blue checkmark is bullshit. Power to the…,2022,11,1,2,17
Twitter drives a massive number of clicks to other websites/apps. Biggest click dri…,2022,11,13,7,0
"Trash me all day, but it’ll cost $8",2022,11,5,6,4
⚡️⚡️⚡️ Power to the People ⚡️⚡️⚡️,2022,11,5,6,3
I try my best,2022,11,4,5,23
Thank you. A thermonuclear name &amp; shame is exactly what will happen if this continues.,2022,11,4,5,23
"Regarding Twitter’s reduction in force, unfortunately there is no choice when the company is losing over $4M/day.…",2022,11,4,5,23
Twitter will not censor accurate information about anything,2022,11,4,5,22
"Again, to be crystal clear, Twitter’s strong commitment to content moderation remains absolutely unchanged. In fac…",2022,11,4,5,22
Excellent summary of Twitter’s Trust &amp; Safety from the head of the team,2022,11,4,5,22
"Hank, try a Google search …",2022,11,4,5,21
Agreed. Working on it.,2022,11,4,5,20
And therefore Twitter should die?,2022,11,4,5,20
You’re right,2022,11,4,5,19
We can beat that,2022,11,5,6,22
Worth watching,2022,11,5,6,22
Fixing search is a high priority,2022,11,5,6,22
Noted to fix,2022,11,5,6,22
Search within Twitter reminds me of Infoseek in ‘98! That will also get a lot better pronto.,2022,11,5,6,22
Interesting,2022,11,5,6,22
"42 mins to start, then several hours in a month or so",2022,11,5,6,22
We definitely need to incent people to do a lot more interactions on Twitter!,2022,11,5,6,22
"We can do 42 min chunks at 1080 resolution now for new Blue, so you could break up a longer video.…",2022,11,5,6,22
Absolutely,2022,11,5,6,22
"Hopefully, less than a month",2022,11,5,6,22
Absolutely,2022,11,5,6,21
Two weeks,2022,11,5,6,21
Something like that,2022,11,5,6,21
Followed by creator monetization for all forms of content,2022,11,5,6,21
"Twitter will soon add ability to attach long-form text to tweets, ending absurdity of notepad screenshots",2022,11,5,6,21
True,2022,11,5,6,20
Great question. Twitter will suspend the account attempting impersonation and keep the money! So i…,2022,11,5,6,20
This rocks,2022,11,5,6,20
"So long as pay $8, please be my guest",2022,11,5,6,20
That is weirdly tricky due to the way Apple handles “subscriptions”…,2022,11,5,6,20
Hot take: not everything AOC says is 💯 accurate,2022,11,5,6,19
This feature is an absolute gamechanger for fighting mis/disinformation at scale,2022,11,5,6,19
As soon as we confirm it’s working well in the initial set of countries and we have the transl…,2022,11,5,6,19
Making great actuators for a humanoid robot is a surprisingly hard problem,2022,11,5,6,19
I still do a lot of work at Tesla! Was at our Palo Alto engineering office until late Thursday night w…,2022,11,5,6,19
"Far too many legacy “verified” checkmarks were handed out, often arbitrarily, so in reality they are *not…",2022,11,5,6,18
Correct,2022,11,5,6,17
Birdwatch (soon to be renamed Community Notes) has incredible potential for improving info…,2022,11,5,6,16
"Hardcore Democrats or Republicans never vote for the other side, so independent voters are the ones who actually decide who’s in charge!",2022,11,7,1,15
"To independent-minded voters: Shared power curbs the worst excesses of both parties, therefore I recommend voting…",2022,11,7,1,15
"But if Twitter is bird, that’s means … 🤯",2022,11,7,1,15
Back when birds were real,2022,11,7,1,15
How times have changed,2022,11,7,1,14
We do,2022,11,7,1,13
"Twitter rules will evolve over time, but they’re currently the following:",2022,11,7,1,13
Birds haven’t been real since 1986,2022,11,7,1,4
$8 for all,2022,11,7,1,4
Exactly,2022,11,7,1,3
Not everything needs to have “bird” in the name! Too many bird groups fighting each internally other at Twitter. Angry Birds.,2022,11,7,1,3
Birdwatch gives me the creeps,2022,11,7,1,3
Community Notes aka,2022,11,7,1,3
"But if she really wants her account back, she can have it",2022,11,7,1,2
"Actually, she was suspended for impersonating a comedian",2022,11,7,1,2
"At the end of the day, if Twitter is indeed the most accurate source of information, more people will use it",2022,11,7,1,2
As judged by the people of Twitter via Community Notes (formerly Birdwatch),2022,11,7,1,2
Absolutely,2022,11,7,1,2
You represent the problem: journalists who think they are the only source of legitimate information. That’s the big lie.,2022,11,7,1,1
I will look into this,2022,11,7,1,0
Accurate,2022,11,7,1,0
"My commitment to free speech extends even to not banning the account following my plane, even though that is a direct personal safety risk",2022,11,7,1,0
Twitter needs to become by far the most accurate source of information about the world. That’s our mission.,2022,11,7,1,0
Twitter user numbers have increased significantly around the world since the deal was announced. And…,2022,11,7,1,0
No problem to use a pseudonym. The high-level principle is just that verified users can’t e…,2022,11,7,1,0
"We are implementing additional safeguards to prevent impersonation, as well as collective…",2022,11,7,1,0
Widespread verification will democratize journalism &amp; empower the voice of the people,2022,11,6,7,23
No exceptions,2022,11,6,7,23
Any name change at all will cause temporary loss of verified checkmark,2022,11,6,7,23
"Previously, we issued a warning before suspension, but now that we are rolling out widespread verification, there w…",2022,11,6,7,23
What censorship are you referring to?,2022,11,6,7,23
"Going forward, any Twitter handles engaging in impersonation without clearly specifying “parody” will be permanently suspended",2022,11,6,7,22
Politics is war and truth is the first casualty,2022,11,8,2,15
While it’s true that I’ve been under unfair &amp; misleading attack for some time by leading Democr…,2022,11,8,2,14
Exactly,2022,11,8,2,14
Important thread,2022,11,8,2,14
I just hope the servers don’t melt!,2022,11,8,2,1
Twitter usage is at an all-time high lol,2022,11,8,2,0
And I’m open to the idea of voting Democrat again in the future,2022,11,7,1,21
"To be clear, my historical party affiliation has been Independent, with an actual voting history of entirely Democrat until this year",2022,11,7,1,20
True,2022,11,7,1,20
"Like most people in America, I agree with some of the Democrat and some of the Republican policies, but…",2022,11,7,1,20
When reality is indistinguishable from satire,2022,11,9,3,0
It is borderline illegal to support Republicans in San Francisco! Even admitting you know some is pretty bad 🤣,2022,11,8,2,21
Good point,2022,11,8,2,20
Twitter is the most interesting place on the Internet,2022,11,8,2,16
Twitter is the worst! But also the best.,2022,11,8,2,15
"Wow, this is messed up!",2022,11,8,2,15
"Far too many corrupt legacy Blue “verification” checkmarks exist, so no choice but to remove legacy Blue in coming months",2022,11,10,4,17
Indeed,2022,11,10,4,17
I love when people complain about Twitter … on Twitter 🤣🤣,2022,11,10,4,17
I’m not seeing much spam in this reply,2022,11,10,4,15
Coming,2022,11,10,4,8
"It’s working for me. That said, we can definitely make the verified mentions tab more usable.",2022,11,10,4,8
What does a tosh look like?,2022,11,10,4,8
Are you seeing far fewer bots/scams/spam?,2022,11,10,4,7
It’s awesome 🫐,2022,11,10,4,6
Pretty funny though 🤣🤣,2022,11,10,4,6
Working on it!,2022,11,10,4,6
That’s coming,2022,11,10,4,2
You’re welcome!,2022,11,10,4,2
Rollout of new verified Blue is intentionally limited just to iOS in a few countries with very little pr…,2022,11,10,4,2
"In days to come, we’ll add granularity to verified badge, such as organizational affiliation &amp; ID verification",2022,11,10,4,1
"We are changing the text to say “Legacy Verified. Could be notable, but could also be bogus.”",2022,11,10,4,0
Subscription Blue is better than legacy Blue. I switched over.,2022,11,9,3,23
The goal of Twitter DMs is to superset Signal,2022,11,9,3,19
Twitter is growing super fast. I hope it continues!!,2022,11,9,3,19
"Hopefully, as soon as next week",2022,11,9,3,19
Totally agree!,2022,11,9,3,19
"Nope, I was alway 🥜 !",2022,11,9,3,17
Yeah,2022,11,9,3,17
Congratulations!,2022,11,9,3,17
Rockets that aren’t reusable have no future,2022,11,9,3,17
Finally,2022,11,9,3,17
Please note that Twitter will do lots of dumb things in coming months. We will keep what works &amp; change what doesn’t.,2022,11,9,3,16
Complaint hotline operator online! Please mention your complaints below.,2022,11,9,3,16
Blue check will be the great leveler,2022,11,9,3,16
I just killed it,2022,11,9,3,16
Actual fun stuff FTW!!,2022,11,9,3,16
"Should be noted that a significant percentage of these accounts are not real people, but some proportion are",2022,11,9,3,16
"This is super messed up. Unfortunately, many such things occurred at Twitter. Even worse was done in lat…",2022,11,9,3,16
"Needs some tweaks, but overall proceeding well",2022,11,11,5,15
"Agreed, necessary change",2022,11,11,5,8
Hit all-time high of active users today,2022,11,11,5,8
"2023 will probably be tough, but my companies are positioned well",2022,11,11,5,8
Some epically funny tweets 🤣🤣,2022,11,11,5,7
We will take action in this regard,2022,11,11,5,7
Quite the day!,2022,11,11,5,7
I agree,2022,11,11,5,4
Absolutely,2022,11,11,5,1
"To be more precise, accounts doing parody impersonations. Basically, tricking people is not ok.",2022,11,11,5,1
